adm1_name,adm2_name,adm2_code,lon,lat
México,Villa del Carbón,MX15112,-99.4784194043359,19.721097894337483
Oaxaca,Villa Díaz Ordaz,MX20560,-96.38019539645325,17.057909315514397
Zacatecas,Villa García,MX32052,-101.89236791571942,22.129686404457352
Zacatecas,Villa González Ortega,MX32053,-101.953730101943,22.551897545340534
Jalisco,Villa Guerrero,MX14115,-103.68667373012029,22.028830036355505
México,Villa Guerrero,MX15113,-99.68773719672593,18.974325513695106
Jalisco,Villa Hidalgo,MX14116,-102.59359931599766,21.667736859454315
Oaxaca,Villa Hidalgo,MX20038,-96.16018404417305,17.1811709102533
San Luis Potosí,Villa Hidalgo,MX24051,-100.6734222826098,22.6411675367404
Sonora,Villa Hidalgo,MX26067,-109.33384517346141,30.234354038513807
Zacatecas,Villa Hidalgo,MX32054,-101.71431603079827,22.40738924659524
San Luis Potosí,Villa Juárez,MX24052,-100.19732008443586,22.28930540494853
Sonora,Villa Pesqueira,MX26068,-109.97059767125883,29.0872314886181
Jalisco,Villa Purificación,MX14068,-104.72283840011457,19.80728133405719
Oaxaca,Villa Sola de Vega,MX20277,-97.05822249613011,16.51337639196912
Oaxaca,Villa Talea de Castro,MX20280,-96.23183655745514,17.367396886713824
Oaxaca,Villa Tejúpam de la Unión,MX20486,-97.46375607822807,17.666210691648093
Coahuila de Zaragoza,Villa Unión,MX05037,-100.78030067982486,28.09764068242229
México,Villa Victoria,MX15114,-99.99214155248147,19.44278391227631
Chiapas,Villaflores,MX07108,-93.3751553335627,16.34620451068959
Guanajuato,Villagrán,MX11044,-100.99251218811504,20.54196555079391
Tamaulipas,Villagrán,MX28042,-99.3599891519337,24.56073019520683
Nuevo León,Villaldama,MX19051,-100.34809429514635,26.469835050420965
Michoacán de Ocampo,Villamar,MX16104,-102.58639899534593,19.993788697688824
Zacatecas,Villanueva,MX32055,-102.8514788629791,22.298507867856998
Michoacán de Ocampo,Vista Hermosa,MX16105,-102.46982282055275,20.266237697750373
Veracruz de Ignacio de la Llave,Xalapa,MX30087,-96.88834266664492,19.543875872898845
México,Xalatlaco,MX15043,-99.35927128720921,19.165248517674364
Nayarit,Xalisco,MX18008,-104.96176334796391,21.390880199813083
Tlaxcala,Xaloztoc,MX29039,-98.02915297922968,19.41617316177657
Guerrero,Xalpatláhuac,MX12069,-98.54148586249389,17.429830790085468
