adm2_code,entidad,municipio,poverty_rate
MX07037,Chiapas,Huehuetán,56.1771446877
MX07038,Chiapas,Huixtán,96.6475494385
MX07039,Chiapas,Huitiupán,94.1373250857
MX07040,Chiapas,Huixtla,56.9820139774
MX07041,Chiapas,La Independencia,91.5964861332
MX07042,Chiapas,Ixhuatán,84.7930403513
MX07043,Chiapas,Ixtacomitán,65.6715478044
MX07044,Chiapas,Ixtapa,87.0056122697
MX07045,Chiapas,Ixtapangajoya,71.9066186107
MX07046,Chiapas,Jiquipilas,64.6188286799
MX07047,Chiapas,Jitotol,94.5684123124
MX07048,Chiapas,Juárez,54.636120067
MX07049,Chiapas,Larráinzar,95.7310026942
MX07050,Chiapas,La Libertad,42.770374662
MX07051,Chiapas,Mapastepec,70.844767198
MX07052,Chiapas,Las Margaritas,94.0799056301
MX07053,Chiapas,Mazapa de Madero,82.5722028649
MX07054,Chiapas,Mazatán,56.2934307677
MX07055,Chiapas,Metapa,59.9931236032
MX07056,Chiapas,Mitontic,98.3911206641
MX07057,Chiapas,Motozintla,71.1680399358
MX07058,Chiapas,Nicolás Ruíz,96.6488272921
MX07059,Chiapas,Ocosingo,92.4999123168
MX07060,Chiapas,Ocotepec,91.9847657373
MX07061,Chiapas,Ocozocoautla de Espinosa,72.5486122752
MX07062,Chiapas,Ostuacán,58.2936057549
MX07063,Chiapas,Osumacinta,69.2435734284
MX07064,Chiapas,Oxchuc,98.0780507644
MX07065,Chiapas,Palenque,69.8750784259
MX07066,Chiapas,Pantelhó,97.7813656371
MX07067,Chiapas,Pantepec,88.7643875148
MX07068,Chiapas,Pichucalco,60.9534588911
MX07069,Chiapas,Pijijiapan,68.2615948266
MX07070,Chiapas,El Porvenir,94.6325755104
MX07071,Chiapas,Villa Comaltitlán,55.4459731897
MX07072,Chiapas,Pueblo Nuevo Solistahuacán,92.0949542641
MX07073,Chiapas,Rayón,85.3201880498
MX07074,Chiapas,Reforma,56.7838489217
MX07075,Chiapas,Las Rosas,89.6196573854
MX07076,Chiapas,Sabanilla,93.398781461
MX07077,Chiapas,Salto de Agua,86.3731698651
MX07078,Chiapas,San Cristóbal de las Casas,66.1151701938
MX07079,Chiapas,San Fernando,62.2021448183
MX07080,Chiapas,Siltepec,91.8925956798
MX07081,Chiapas,Simojovel,95.3579868564
MX07082,Chiapas,Sitalá,97.1730001962
MX07083,Chiapas,Socoltenango,73.8671492252
MX07084,Chiapas,Solosuchiapa,75.5361302591
MX07085,Chiapas,Soyaló,90.4313835094
MX07086,Chiapas,Suchiapa,70.9350822319
MX07087,Chiapas,Suchiate,62.7460343745
MX07088,Chiapas,Sunuapa,66.3082311734
MX07089,Chiapas,Tapachula,58.4942052002
MX07090,Chiapas,Tapalapa,78.7990029458
MX07091,Chiapas,Tapilula,73.1160553562
MX07092,Chiapas,Tecpatán,83.2349073077
MX07093,Chiapas,Tenejapa,97.0797998697
MX07094,Chiapas,Teopisca,91.5782277124
MX07096,Chiapas,Tila,98.0705840801
MX07097,Chiapas,Tonalá,60.9394180032
MX07098,Chiapas,Totolapa,94.1385407964
MX07099,Chiapas,La Trinitaria,87.7573714262
MX07100,Chiapas,Tumbalá,95.8327540107
MX07101,Chiapas,Tuxtla Gutiérrez,46.1714926717
MX07102,Chiapas,Tuxtla Chico,64.5817124395
MX07103,Chiapas,Tuzantán,68.7714422204
MX07104,Chiapas,Tzimol,80.9738462323
MX07105,Chiapas,Unión Juárez,69.9851956286
MX07106,Chiapas,Venustiano Carranza,85.3168716206
MX07107,Chiapas,Villa Corzo,81.7317111046
MX07108,Chiapas,Villaflores,69.5202401285
MX07109,Chiapas,Yajalón,90.4017161042
MX07110,Chiapas,San Lucas,87.7745347436
MX07111,Chiapas,Zinacantán,96.8485407619
MX07112,Chiapas,San Juan Cancuc,99.2568472144
MX07113,Chiapas,Aldama,98.9482448784
MX07114,Chiapas,Benemérito de las Américas,75.8467797001
MX07115,Chiapas,Maravilla Tenejapa,95.3634774094
MX07116,Chiapas,Marqués de Comillas,77.1633208536
MX07117,Chiapas,Montecristo de Guerrero,92.5314927692
MX07118,Chiapas,San Andrés Duraznal,98.5197598799
MX07119,Chiapas,Santiago el Pinar,97.2926978932
MX07120,Chiapas,Capitán Luis Ángel Vidal,92.1086751532
MX07121,Chiapas,Rincón Chamula San Pedro,97.8847219017
MX07122,Chiapas,El Parral,77.602548262
MX07123,Chiapas,Emiliano Zapata,72.2035338233
MX07124,Chiapas,Mezcalapa,79.7040946921
MX07125,Chiapas,Honduras de la Sierra,
MX08001,Chihuahua,Ahumada,37.88438559
MX08002,Chihuahua,Aldama,25.3823127887
MX08003,Chihuahua,Allende,21.2699952107
MX08004,Chihuahua,Aquiles Serdán,30.0726158486
MX08005,Chihuahua,Ascensión,43.509385966
MX08006,Chihuahua,Bachíniva,12.1928219564
MX08007,Chihuahua,Balleza,64.339342723
MX08008,Chihuahua,Batopilas,92.2113183161
MX08009,Chihuahua,Bocoyna,56.5051532158
MX08010,Chihuahua,Buenaventura,46.8025598194
MX08011,Chihuahua,Camargo,27.1851465597
MX08012,Chihuahua,Carichí,55.3190818514
MX08013,Chihuahua,Casas Grandes,32.7015437635
MX08014,Chihuahua,Coronado,23.4722222222
MX08015,Chihuahua,Coyame del Sotol,24.0612870276
MX08016,Chihuahua,La Cruz,15.2115917915
MX08017,Chihuahua,Cuauhtémoc,24.7199352088
MX08018,Chihuahua,Cusihuiriachi,28.435190733
MX08019,Chihuahua,Chihuahua,15.6764975048
MX08020,Chihuahua,Chínipas,52.3237137203
MX08021,Chihuahua,Delicias,21.8147077258
MX08022,Chihuahua,Dr. Belisario Domínguez,38.1454545455
MX08023,Chihuahua,Galeana,32.3015214385
MX08024,Chihuahua,Santa Isabel,20.9447483589
MX08025,Chihuahua,Gómez Farías,31.7823109427
MX08026,Chihuahua,Gran Morelos,23.1931239389
MX08027,Chihuahua,Guachochi,63.7379707435
MX08028,Chihuahua,Guadalupe,19.7141421753
