adm1_name,adm2_name,adm2_code,pop_total,pop_wra
Chiapas,Tapachula,MX07089,368969,92242
Chiapas,Tapalapa,MX07090,4824,1206
Chiapas,Tapilula,MX07091,14474,3619
Chiapas,Tecpatán,MX07092,47484,11871
Chiapas,Tenejapa,MX07093,51485,12871
Chiapas,Teopisca,MX07094,52761,13190
Chiapas,Tila,MX07096,76294,19074
Chiapas,Tonalá,MX07097,95968,23992
Chiapas,Totolapa,MX07098,7747,1937
Chiapas,Tumbalá,MX07100,40305,10076
Chiapas,Tuxtla Chico,MX07102,43935,10984
Chiapas,Tuxtla Gutiérrez,MX07101,632720,158180
Chiapas,Tuzantán,MX07103,33286,8322
Chiapas,Tzimol,MX07104,17508,4377
Chiapas,Unión Juárez,MX07105,16529,4132
Chiapas,Venustiano Carranza,MX07106,71185,17796
Chiapas,Villa Comaltitlán,MX07071,32010,8002
Chiapas,Villa Corzo,MX07107,85433,21358
Chiapas,Villaflores,MX07108,115000,28750
Chiapas,Yajalón,MX07109,43114,10778
Chiapas,Zinacantán,MX07111,48509,12127
Chihuahua,Ahumada,MX08001,15412,3853
Chihuahua,Aldama,MX08002,27270,6818
Chihuahua,Allende,MX08003,8790,2198
Chihuahua,Aquiles Serdán,MX08004,25857,6464
Chihuahua,Ascensión,MX08005,27291,6823
Chihuahua,Bachíniva,MX08006,6012,1503
Chihuahua,Balleza,MX08007,17316,4329
Chihuahua,Batopilas,MX08008,12003,3001
Chihuahua,Bocoyna,MX08009,24467,6117
Chihuahua,Buenaventura,MX08010,26316,6579
Chihuahua,Camargo,MX08011,51625,12906
Chihuahua,Carichí,MX08012,8520,2130
Chihuahua,Casas Grandes,MX08013,12358,3089
Chihuahua,Chihuahua,MX08019,977034,244259
Chihuahua,Chínipas,MX08020,6508,1627
Chihuahua,Coronado,MX08014,2103,526
Chihuahua,Coyame del Sotol,MX08015,1254,314
Chihuahua,Cuauhtémoc,MX08017,188868,47217
Chihuahua,Cusihuiriachi,MX08018,5314,1329
Chihuahua,Delicias,MX08021,157373,39343
Chihuahua,Dr. Belisario Domínguez,MX08022,2497,624
Chihuahua,El Tule,MX08064,1557,389
Chihuahua,Galeana,MX08023,7008,1752
Chihuahua,Gran Morelos,MX08026,2505,626
Chihuahua,Guachochi,MX08027,52886,13221
Chihuahua,Guadalupe,MX08028,4427,1107
Chihuahua,Guadalupe y Calvo,MX08029,53431,13358
Chihuahua,Guazapares,MX08030,8671,2168
Chihuahua,Guerrero,MX08031,36929,9232
Chihuahua,Gómez Farías,MX08025,7262,1816
Chihuahua,Hidalgo del Parral,MX08032,121709,30427
Chihuahua,Huejotitán,MX08033,866,216
Chihuahua,Ignacio Zaragoza,MX08034,5354,1338
Chihuahua,Janos,MX08035,11536,2884
Chihuahua,Jiménez,MX08036,42709,10677
Chihuahua,Julimes,MX08038,5221,1305
Chihuahua,Juárez,MX08037,1580290,395072
Chihuahua,La Cruz,MX08016,3884,971
Chihuahua,López,MX08039,4276,1069
Chihuahua,Madera,MX08040,25988,6497
Chihuahua,Maguarichi,MX08041,1401,350
Chihuahua,Manuel Benavides,MX08042,1211,303
Chihuahua,Matachí,MX08043,2835,709
Chihuahua,Matamoros,MX08044,4483,1121
Chihuahua,Meoqui,MX08045,47130,11783
Chihuahua,Morelos,MX08046,7806,1951
Chihuahua,Moris,MX08047,4633,1158
Chihuahua,Namiquipa,MX08048,23565,5891
Chihuahua,Nonoava,MX08049,2872,718
Chihuahua,Nuevo Casas Grandes,MX08050,68761,17190
Chihuahua,Ocampo,MX08051,8586,2147
Chihuahua,Ojinaga,MX08052,25460,6365
Chihuahua,Praxedis G. Guerrero,MX08053,5308,1327
Chihuahua,Riva Palacio,MX08054,8121,2030
Chihuahua,Rosales,MX08055,17714,4428
Chihuahua,Rosario,MX08056,2153,538
Chihuahua,San Francisco de Borja,MX08057,2246,562
Chihuahua,San Francisco de Conchos,MX08058,2811,703
Chihuahua,San Francisco del Oro,MX08059,5217,1304
Chihuahua,Santa Bárbara,MX08060,12064,3016
Chihuahua,Santa Isabel,MX08024,3931,983
Chihuahua,Satevó,MX08061,3521,880
Chihuahua,Saucillo,MX08062,31235,7809
Chihuahua,Temósachic,MX08063,5519,1380
Chihuahua,Urique,MX08065,17983,4496
Chihuahua,Uruachi,MX08066,6852,1713
Chihuahua,Valle de Zaragoza,MX08067,4948,1237
Coahuila de Zaragoza,Abasolo,MX05001,1079,270
Coahuila de Zaragoza,Acuña,MX05002,171211,42803
Coahuila de Zaragoza,Allende,MX05003,24129,6032
Coahuila de Zaragoza,Arteaga,MX05004,31413,7853
Coahuila de Zaragoza,Candela,MX05005,1712,428
Coahuila de Zaragoza,Castaños,MX05006,30577,7644
Coahuila de Zaragoza,Cuatro Ciénegas,MX05007,13264,3316
Coahuila de Zaragoza,Escobedo,MX05008,3203,801
Coahuila de Zaragoza,Francisco I. Madero,MX05009,62213,15553
Coahuila de Zaragoza,Frontera,MX05010,87728,21932
Coahuila de Zaragoza,General Cepeda,MX05011,12406,3101
Coahuila de Zaragoza,Guerrero,MX05012,1717,429
Coahuila de Zaragoza,Hidalgo,MX05013,1824,456
Coahuila de Zaragoza,Jiménez,MX05014,10040,2510
