adm2_code,adm2_name,entidad,facilities
MX07067,Pantepec,Chiapas,5
MX07068,Pichucalco,Chiapas,12
MX07069,Pijijiapan,Chiapas,36
MX07070,El Porvenir,Chiapas,2
MX07071,Villa Comaltitlán,Chiapas,8
MX07072,Pueblo Nuevo Solistahuacán,Chiapas,9
MX07073,Rayón,Chiapas,4
MX07074,Reforma,Chiapas,11
MX07075,Las Rosas,Chiapas,6
MX07076,Sabanilla,Chiapas,7
MX07077,Salto de Agua,Chiapas,23
MX07078,San Cristóbal de las Casas,Chiapas,56
MX07079,San Fernando,Chiapas,9
MX07080,Siltepec,Chiapas,21
MX07081,Simojovel,Chiapas,16
MX07082,Sitalá,Chiapas,11
MX07083,Socoltenango,Chiapas,6
MX07084,Solosuchiapa,Chiapas,4
MX07085,Soyaló,Chiapas,1
MX07086,Suchiapa,Chiapas,5
MX07087,Suchiate,Chiapas,9
MX07088,Sunuapa,Chiapas,1
MX07089,Tapachula,Chiapas,107
MX07090,Tapalapa,Chiapas,1
MX07091,Tapilula,Chiapas,5
MX07092,Tecpatán,Chiapas,13
MX07093,Tenejapa,Chiapas,4
MX07094,Teopisca,Chiapas,10
MX07096,Tila,Chiapas,14
MX07097,Tonalá,Chiapas,39
MX07098,Totolapa,Chiapas,2
MX07099,La Trinitaria,Chiapas,21
MX07100,Tumbalá,Chiapas,7
MX07101,Tuxtla Gutiérrez,Chiapas,178
MX07102,Tuxtla Chico,Chiapas,11
MX07103,Tuzantán,Chiapas,4
MX07104,Tzimol,Chiapas,6
MX07105,Unión Juárez,Chiapas,4
MX07106,Venustiano Carranza,Chiapas,15
MX07107,Villa Corzo,Chiapas,25
MX07108,Villaflores,Chiapas,32
MX07109,Yajalón,Chiapas,15
MX07110,San Lucas,Chiapas,1
MX07111,Zinacantán,Chiapas,7
MX07112,San Juan Cancuc,Chiapas,10
MX07113,Aldama,Chiapas,4
MX07114,Benemérito de las Américas,Chiapas,4
MX07115,Maravilla Tenejapa,Chiapas,8
MX07116,Marqués de Comillas,Chiapas,6
MX07117,Montecristo de Guerrero,Chiapas,4
MX07118,San Andrés Duraznal,Chiapas,1
MX07119,Santiago el Pinar,Chiapas,1
MX08001,Ahumada,Chihuahua,4
MX08002,Aldama,Chihuahua,5
MX08003,Allende,Chihuahua,1
MX08004,Aquiles Serdán,Chihuahua,2
MX08005,Ascensión,Chihuahua,9
MX08006,Bachíniva,Chihuahua,2
MX08007,Balleza,Chihuahua,2
MX08008,Batopilas,Chihuahua,4
MX08009,Bocoyna,Chihuahua,7
MX08010,Buenaventura,Chihuahua,7
MX08011,Camargo,Chihuahua,20
MX08012,Carichí,Chihuahua,4
MX08013,Casas Grandes,Chihuahua,1
MX08014,Coronado,Chihuahua,1
MX08015,Coyame del Sotol,Chihuahua,2
MX08016,La Cruz,Chihuahua,1
MX08017,Cuauhtémoc,Chihuahua,38
MX08018,Cusihuiriachi,Chihuahua,1
MX08019,Chihuahua,Chihuahua,200
MX08020,Chínipas,Chihuahua,3
MX08021,Delicias,Chihuahua,25
MX08022,Dr. Belisario Domínguez,Chihuahua,2
MX08023,Galeana,Chihuahua,2
MX08024,Santa Isabel,Chihuahua,1
MX08025,Gómez Farías,Chihuahua,6
MX08026,Gran Morelos,Chihuahua,2
MX08027,Guachochi,Chihuahua,7
MX08028,Guadalupe,Chihuahua,2
MX08029,Guadalupe y Calvo,Chihuahua,5
MX08030,Guazapares,Chihuahua,4
MX08031,Guerrero,Chihuahua,12
MX08032,Hidalgo del Parral,Chihuahua,34
MX08033,Huejotitán,Chihuahua,1
MX08034,Ignacio Zaragoza,Chihuahua,3
MX08035,Janos,Chihuahua,2
MX08036,Jiménez,Chihuahua,10
MX08037,Juárez,Chihuahua,281
MX08038,Julimes,Chihuahua,1
MX08039,López,Chihuahua,1
MX08040,Madera,Chihuahua,7
MX08041,Maguarichi,Chihuahua,1
MX08042,Manuel Benavides,Chihuahua,1
MX08043,Matachí,Chihuahua,3
MX08044,Matamoros,Chihuahua,2
MX08045,Meoqui,Chihuahua,11
MX08046,Morelos,Chihuahua,3
MX08047,Moris,Chihuahua,1
MX08048,Namiquipa,Chihuahua,10
MX08049,Nonoava,Chihuahua,1
MX08050,Nuevo Casas Grandes,Chihuahua,28
MX08051,Ocampo,Chihuahua,3
MX08052,Ojinaga,Chihuahua,5
MX08053,Praxedis G. Guerrero,Chihuahua,3
MX08054,Riva Palacio,Chihuahua,4
MX08055,Rosales,Chihuahua,5
MX08057,San Francisco de Borja,Chihuahua,1
MX08058,San Francisco de Conchos,Chihuahua,2
MX08059,San Francisco del Oro,Chihuahua,3
MX08060,Santa Bárbara,Chihuahua,4
MX08061,Satevó,Chihuahua,2
MX08062,Saucillo,Chihuahua,8
MX08063,Temósachic,Chihuahua,1
MX08064,El Tule,Chihuahua,1
MX08065,Urique,Chihuahua,7
MX08066,Uruachi,Chihuahua,1
MX08067,Valle de Zaragoza,Chihuahua,2
MX09002,Azcapotzalco,Distrito Federal,129
MX09003,Coyoacán,Distrito Federal,188
MX09004,Cuajimalpa de Morelos,Distrito Federal,56
MX09005,Gustavo A. Madero,Distrito Federal,352
MX09006,Iztacalco,Distrito Federal,116
MX09007,Iztapalapa,Distrito Federal,494
MX09008,La Magdalena Contreras,Distrito Federal,74
MX09009,Milpa Alta,Distrito Federal,40
MX09010,Álvaro Obregón,Distrito Federal,189
MX09011,Tláhuac,Distrito Federal,106
MX09012,Tlalpan,Distrito Federal,222
MX09013,Xochimilco,Distrito Federal,102
MX09014,Benito Juárez,Distrito Federal,269
MX09015,Cuauhtémoc,Distrito Federal,360
MX09016,Miguel Hidalgo,Distrito Federal,194
MX09017,Venustiano Carranza,Distrito Federal,158
MX10001,Canatlán,Durango,11
MX10002,Canelas,Durango,5
MX10003,Coneto de Comonfort,Durango,2
MX10004,Cuencamé,Durango,9
MX10005,Durango,Durango,183
MX10006,General Simón Bolívar,Durango,4
MX10007,Gómez Palacio,Durango,68
MX10008,Guadalupe Victoria,Durango,8
